date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:19:12	303544/303544	---M--	200	added ('OK')	font/woff2	date:Mon,%2007%20Feb%202022%2011:39:06%20GMT	https://ex-coders.com/html/digtek/assets/webfonts/fa-solid-900.woff2	E:/Sawan/Template/Webwider%20Theme/ex-coders.com/html/digtek/assets/webfonts/fa-solid-900.woff2	(from https://ex-coders.com/html/digtek/assets/css/all.min.css)
15:19:12	785900/785900	---M-Z	200	added ('OK')	font/ttf	date:Mon,%2007%20Feb%202022%2011:39:06%20GMT	https://ex-coders.com/html/digtek/assets/webfonts/fa-solid-900.ttf	E:/Sawan/Template/Webwider%20Theme/ex-coders.com/html/digtek/assets/webfonts/fa-solid-900.ttf	(from https://ex-coders.com/html/digtek/assets/css/all.min.css)
15:19:12	426420/426420	---M--	200	added ('OK')	font/woff2	date:Mon,%2007%20Feb%202022%2011:39:06%20GMT	https://ex-coders.com/html/digtek/assets/webfonts/fa-thin-100.woff2	E:/Sawan/Template/Webwider%20Theme/ex-coders.com/html/digtek/assets/webfonts/fa-thin-100.woff2	(from https://ex-coders.com/html/digtek/assets/css/all.min.css)
15:19:13	4964/4964	---M--	200	added ('OK')	font/woff2	date:Mon,%2007%20Feb%202022%2011:39:06%20GMT	https://ex-coders.com/html/digtek/assets/webfonts/fa-v4compatibility.woff2	E:/Sawan/Template/Webwider%20Theme/ex-coders.com/html/digtek/assets/webfonts/fa-v4compatibility.woff2	(from https://ex-coders.com/html/digtek/assets/css/all.min.css)
15:19:13	10556/10556	---M-Z	200	added ('OK')	font/ttf	date:Mon,%2007%20Feb%202022%2011:39:06%20GMT	https://ex-coders.com/html/digtek/assets/webfonts/fa-v4compatibility.ttf	E:/Sawan/Template/Webwider%20Theme/ex-coders.com/html/digtek/assets/webfonts/fa-v4compatibility.ttf	(from https://ex-coders.com/html/digtek/assets/css/all.min.css)
15:19:13	16348/16348	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Wed,%2030%20Oct%202024%2012:12:48%20GMT	https://ex-coders.com/html/digtek/assets/webfonts/icomoon.eot?spa0u6	E:/Sawan/Template/Webwider%20Theme/ex-coders.com/html/digtek/assets/webfonts/icomoonc52c.eot	(from https://ex-coders.com/html/digtek/assets/css/icomoon.css)
15:19:14	16184/16184	---M-Z	200	added ('OK')	font/ttf	date:Wed,%2030%20Oct%202024%2012:12:48%20GMT	https://ex-coders.com/html/digtek/assets/webfonts/icomoon.ttf?spa0u6	E:/Sawan/Template/Webwider%20Theme/ex-coders.com/html/digtek/assets/webfonts/icomoonc52c.ttf	(from https://ex-coders.com/html/digtek/assets/css/icomoon.css)
15:19:14	16260/16260	---M--	200	added ('OK')	font/woff	date:Wed,%2030%20Oct%202024%2012:12:48%20GMT	https://ex-coders.com/html/digtek/assets/webfonts/icomoon.woff?spa0u6	E:/Sawan/Template/Webwider%20Theme/ex-coders.com/html/digtek/assets/webfonts/icomoonc52c.woff	(from https://ex-coders.com/html/digtek/assets/css/icomoon.css)
15:19:14	1100824/1100824	---MCZ	200	added ('OK')	font/ttf	date:Mon,%2007%20Feb%202022%2011:39:06%20GMT	https://ex-coders.com/html/digtek/assets/webfonts/fa-thin-100.ttf	E:/Sawan/Template/Webwider%20Theme/ex-coders.com/html/digtek/assets/webfonts/fa-thin-100.ttf	(from https://ex-coders.com/html/digtek/assets/css/all.min.css)
15:19:14	63479/63479	---M-Z	200	added ('OK')	image/svg+xml	date:Wed,%2030%20Oct%202024%2012:12:48%20GMT	https://ex-coders.com/html/digtek/assets/webfonts/icomoon.svg?spa0u6	E:/Sawan/Template/Webwider%20Theme/ex-coders.com/html/digtek/assets/webfonts/icomoonc52c.svg	(from https://ex-coders.com/html/digtek/assets/css/icomoon.css)
